,user,parameter,value
0,1,1,4
1,1,2,0
2,1,3,2
3,1,4,6
4,1,5,4
5,1,6,6
6,1,7,5
7,2,1,6
8,2,2,1
9,2,3,4
10,2,4,5
11,2,5,1
12,2,6,4
13,2,7,1
14,3,1,10
15,3,2,10
16,3,3,10
17,3,4,2
18,3,5,3
19,3,6,3
20,3,7,1
21,4,1,3
22,4,2,0
23,4,3,2
24,4,4,7
25,4,5,8
26,4,6,5
27,4,7,2
28,5,1,4
29,5,2,0
30,5,3,2
31,5,4,6
32,5,5,2
33,5,6,0
34,5,7,1
35,6,1,6
36,6,2,1
37,6,3,2
38,6,4,4
39,6,5,3
40,6,6,3
41,6,7,1
42,7,1,5
43,7,2,1
44,7,3,6
45,7,4,4
46,7,5,3
47,7,6,3
48,7,7,1
49,8,1,2
50,8,2,0
51,8,3,1
52,8,4,7
53,8,5,3
54,8,6,3
55,8,7,1
56,9,1,4
57,9,2,0
58,9,3,2
59,9,4,5
60,9,5,1
61,9,6,1
62,9,7,0
63,10,1,2
64,10,2,0
65,10,3,0
66,10,4,7
67,10,5,1
68,10,6,10
69,10,7,0
70,11,1,3
71,11,2,0
72,11,3,2
73,11,4,7
74,11,5,3
75,11,6,3
76,11,7,1
77,12,1,3
78,12,2,0
79,12,3,1
80,12,4,7
81,12,5,3
82,12,6,3
83,12,7,1
84,13,1,3
85,13,2,0
86,13,3,0
87,13,4,5
88,13,5,0
89,13,6,1
90,13,7,4
91,14,1,1
92,14,2,0
93,14,3,0
94,14,4,10
95,14,5,3
96,14,6,3
97,14,7,1
98,15,1,5
99,15,2,2
100,15,3,4
101,15,4,3
102,15,5,10
103,15,6,0
104,15,7,2
105,16,1,3
106,16,2,0
107,16,3,4
108,16,4,6
109,16,5,8
110,16,6,0
111,16,7,2
112,17,1,2
113,17,2,0
114,17,3,0
115,17,4,6
116,17,5,8
117,17,6,8
118,17,7,2
119,18,1,0
120,18,2,0
121,18,3,0
122,18,4,0
123,18,5,3
124,18,6,3
125,18,7,1
126,19,1,0
127,19,2,0
128,19,3,0
129,19,4,0
130,19,5,3
131,19,6,3
132,19,7,1
133,20,1,3
134,20,2,0
135,20,3,1
136,20,4,7
137,20,5,1
138,20,6,1
139,20,7,2
140,21,1,1
141,21,2,0
142,21,3,0
143,21,4,6
144,21,5,3
145,21,6,3
146,21,7,1
147,22,1,5
148,22,2,0
149,22,3,6
150,22,4,5
151,22,5,8
152,22,6,7
153,22,7,10
154,23,1,3
155,23,2,0
156,23,3,2
157,23,4,8
158,23,5,3
159,23,6,3
160,23,7,1
161,24,1,3
162,24,2,0
163,24,3,1
164,24,4,6
165,24,5,0
166,24,6,2
167,24,7,2
168,25,1,2
169,25,2,0
170,25,3,1
171,25,4,5
172,25,5,3
173,25,6,3
174,25,7,1
175,26,1,1
176,26,2,0
177,26,3,0
178,26,4,2
179,26,5,3
180,26,6,3
181,26,7,1
182,27,1,0
183,27,2,0
184,27,3,0
185,27,4,10
186,27,5,3
187,27,6,3
188,27,7,1
189,28,1,0
190,28,2,0
191,28,3,0
192,28,4,10
193,28,5,3
194,28,6,3
195,28,7,1
196,29,1,0
197,29,2,0
198,29,3,0
199,29,4,0
200,29,5,3
201,29,6,3
202,29,7,1
203,30,1,1
204,30,2,0
205,30,3,0
206,30,4,10
207,30,5,3
208,30,6,3
209,30,7,1
210,31,1,0
211,31,2,0
212,31,3,0
213,31,4,3
214,31,5,3
215,31,6,3
216,31,7,1
217,32,1,1
218,32,2,0
219,32,3,0
220,32,4,10
221,32,5,3
222,32,6,3
223,32,7,1
224,33,1,0
225,33,2,0
226,33,3,0
227,33,4,0
228,33,5,3
229,33,6,3
230,33,7,1
231,34,1,1
232,34,2,0
233,34,3,0
234,34,4,5
235,34,5,3
236,34,6,3
237,34,7,1
238,35,1,0
239,35,2,0
240,35,3,0
241,35,4,10
242,35,5,3
243,35,6,3
244,35,7,1
245,41,1,0
246,41,2,0
247,41,3,0
248,41,4,0
249,41,5,3
250,41,6,3
251,41,7,1
252,42,1,0
253,42,2,0
254,42,3,0
255,42,4,0
256,42,5,3
257,42,6,3
258,42,7,1
259,47,1,0
260,47,2,0
261,47,3,0
262,47,4,0
263,47,5,3
264,47,6,3
265,47,7,1
